time,seconds_elapsed,dBFS
1751013486646000000,0.027000244140625,-35.227439880371094
1751013486756000000,0.137,-34.745059967041016
1751013486856000000,0.237,-31.82738494873047
1751013486957000000,0.338,-29.09406089782715
1751013487057000000,0.438,-26.36330795288086
1751013487157000000,0.538,-28.27055549621582
1751013487259000000,0.64,-30.863323211669922
1751013487357000000,0.738,-31.541990280151367
1751013487456000000,0.837,-30.86471176147461
1751013487566000000,0.947000244140625,-32.859134674072266
1751013487674000000,1.054999755859375,-29.93437385559082
1751013487774000000,1.155000244140625,-32.450355529785156
1751013487874000000,1.254999755859375,-33.45698165893555
1751013487990000000,1.371000244140625,-31.890745162963867
1751013488090000000,1.470999755859375,-32.79153060913086
1751013488190000000,1.571000244140625,-30.485069274902344
1751013488290000000,1.670999755859375,-32.94122314453125
1751013488390000000,1.771000244140625,-30.895872116088867
1751013488490000000,1.870999755859375,-32.94047546386719
1751013488599000000,1.98,-33.55742645263672
1751013488707000000,2.088,-31.508251190185547
1751013488807000000,2.188,-31.363143920898438
1751013488907000000,2.288,-33.344146728515625
1751013489007000000,2.388,-33.932254791259766
1751013489107000000,2.488,-33.42011642456055
1751013489207000000,2.588,-32.48360061645508
1751013489307000000,2.688,-30.902587890625
1751013489406000000,2.787000244140625,-32.26797866821289
1751013489507000000,2.888,-32.75417709350586
1751013489607000000,2.988,-33.54595184326172
1751013489707000000,3.088,-32.335079193115234
1751013489806000000,3.187000244140625,-32.45398712158203
1751013489907000000,3.288,-31.96052360534668
1751013490007000000,3.388,-33.40172576904297
1751013490107000000,3.488,-32.16767120361328
1751013490206000000,3.587000244140625,-25.391010284423828
1751013490307000000,3.688,-27.732006072998047
1751013490407000000,3.788,-25.95634651184082
1751013490507000000,3.888,-27.512907028198242
1751013490608000000,3.989,-23.985795974731445
1751013490707000000,4.088,-26.004356384277344
1751013490807000000,4.188,-27.13890838623047
1751013490907000000,4.288,-29.73101043701172
1751013491007000000,4.388,-30.9011173248291
1751013491107000000,4.488,-32.554439544677734
1751013491207000000,4.588,-32.319007873535156
1751013491307000000,4.688,-32.30598449707031
1751013491407000000,4.788,-31.79873275756836
1751013491507000000,4.888,-32.246429443359375
1751013491607000000,4.988,-31.43874740600586
1751013491706000000,5.086999755859375,-29.367074966430664
1751013491807000000,5.188,-31.729551315307617
1751013491907000000,5.288,-30.690475463867188
1751013492024000000,5.405,-31.197532653808594
1751013492124000000,5.505,-32.43268966674805
1751013492223000000,5.604,-33.91566467285156
1751013492323000000,5.704,-33.032066345214844
1751013492424000000,5.805,-30.675691604614258
1751013492540000000,5.921,-31.78573989868164
1751013492640000000,6.021,-33.28453063964844
1751013492740000000,6.121,-34.30776596069336
1751013492840000000,6.221,-34.53620147705078
1751013492940000000,6.321,-32.331729888916016
1751013493040000000,6.421,-33.61201095581055
1751013493140000000,6.521,-32.20169448852539
1751013493240000000,6.621,-32.99867248535156
1751013493340000000,6.721,-31.89337730407715
1751013493440000000,6.821,-32.15001678466797
1751013493540000000,6.921,-31.673307418823242
1751013493640000000,7.021,-33.19093704223633
1751013493740000000,7.121,-31.7611083984375
1751013493840000000,7.221,-32.24900817871094
1751013493940000000,7.321,-31.969724655151367
1751013494040000000,7.421,-32.74198532104492
1751013494140000000,7.521,-34.10286331176758
1751013494240000000,7.621,-31.70808982849121
1751013494340000000,7.721,-31.964298248291016
1751013494440000000,7.821,-33.91676330566406
1751013494540000000,7.921,-32.753944396972656
1751013494640000000,8.021,-32.767642974853516
1751013494740000000,8.121,-31.71898651123047
1751013494840000000,8.221,-28.850156784057617
1751013494940000000,8.321,-30.60188865661621
1751013495040000000,8.421,-29.3868465423584
1751013495140000000,8.521,-31.746496200561523
1751013495240000000,8.621,-33.79124450683594
1751013495340000000,8.721,-32.33633804321289
1751013495440000000,8.821,-34.19202423095703
1751013495540000000,8.921,-33.20834732055664
1751013495640000000,9.021,-34.59196472167969
1751013495740000000,9.121,-31.465734481811523
1751013495840000000,9.221,-32.546905517578125
1751013495940000000,9.321,-33.0579719543457
1751013496040000000,9.421,-31.84336280822754
1751013496140000000,9.521,-33.56367492675781
1751013496239000000,9.62,-32.311866760253906
1751013496340000000,9.721,-33.19813919067383
1751013496439000000,9.82,-32.524200439453125
1751013496540000000,9.921,-33.60321807861328
1751013496640000000,10.021,-31.755144119262695
1751013496740000000,10.121,-31.92897605895996
1751013496840000000,10.221,-32.39070129394531
1751013496940000000,10.321,-33.126861572265625
1751013497040000000,10.421,-33.33101272583008
1751013497140000000,10.521,-31.718278884887695
