time,seconds_elapsed,z,y,x
1751013773847644400,0.10964453125,-397.29376220703125,-157.61672973632812,-52.67973327636719
1751013773857685200,0.119685302734375,-397.3507080078125,-157.5685577392578,-52.44624328613281
1751013773867725300,0.129725341796875,-397.46014404296875,-157.4690704345703,-52.40226745605469
1751013773877766400,0.139766357421875,-397.3137512207031,-157.21961975097656,-52.81700134277344
1751013773887807500,0.149807373046875,-398.4159240722656,-157.51255798339844,-52.763458251953125
1751013773897848300,0.159848388671875,-397.6286926269531,-157.97242736816406,-52.8856201171875
1751013773907889400,0.169889404296875,-397.8723449707031,-157.73219299316406,-52.69830322265625
1751013773917930200,0.17993017578125,-397.6282958984375,-157.87237548828125,-52.64178466796875
1751013773927973400,0.189973388671875,-397.88494873046875,-158.01336669921875,-52.81114196777344
1751013773938014200,0.20001416015625,-397.68719482421875,-158.0153350830078,-52.54273986816406
1751013773948054300,0.21005419921875,-397.7707214355469,-157.9218292236328,-52.62351989746094
1751013773958096400,0.220096435546875,-397.88702392578125,-158.0332489013672,-52.40937805175781
1751013773968138200,0.23013818359375,-397.82086181640625,-158.2684783935547,-52.21617126464844
1751013773978179300,0.240179443359375,-398.28802490234375,-158.1356201171875,-52.60621643066406
1751013773988220200,0.25022021484375,-397.94561767578125,-158.21697998046875,-52.53157043457031
1751013773998261200,0.26026123046875,-398.13800048828125,-158.0154571533203,-52.49159240722656
1751013774008301300,0.27030126953125,-397.58251953125,-158.0181427001953,-52.66072082519531
1751013774018342100,0.280342041015625,-397.5697021484375,-158.07420349121094,-52.70973205566406
1751013774028383200,0.29038330078125,-398.13421630859375,-158.25900268554688,-52.35331726074219
1751013774038422300,0.30042236328125,-397.8100891113281,-158.1584014892578,-52.62294006347656
1751013774048463400,0.31046337890625,-397.46380615234375,-157.5983428955078,-52.572906494140625
1751013774058504400,0.32050439453125,-397.47955322265625,-157.6376190185547,-52.3526611328125
1751013774068544500,0.33054443359375,-397.4635314941406,-157.86415100097656,-52.372161865234375
1751013774078585300,0.34058544921875,-396.9127197265625,-157.9267578125,-52.461090087890625
1751013774088626400,0.35062646484375,-397.89788818359375,-157.87167358398438,-52.4888916015625
1751013774098668300,0.360668212890625,-397.5579833984375,-157.84237670898438,-52.67506408691406
1751013774108711200,0.370711181640625,-397.6738586425781,-157.88258361816406,-52.74278259277344
1751013774118754300,0.38075439453125,-398.11993408203125,-157.74252319335938,-52.48040771484375
1751013774128796400,0.39079638671875,-397.47906494140625,-157.52247619628906,-52.426239013671875
1751013774138838300,0.40083837890625,-397.8282165527344,-157.78033447265625,-52.11369323730469
1751013774148880100,0.410880126953125,-397.8291931152344,-157.2925567626953,-52.314208984375
1751013774158922200,0.420922119140625,-397.9061584472656,-157.43502807617188,-52.06095886230469
1751013774168965400,0.43096533203125,-397.9183349609375,-157.56019592285156,-52.24205017089844
1751013774179008300,0.44100830078125,-397.88739013671875,-157.70486450195312,-52.2060546875
1751013774189050000,0.451050048828125,-397.436767578125,-157.4829864501953,-52.30778503417969
1751013774199092500,0.461092529296875,-397.32147216796875,-157.3333740234375,-52.058746337890625
1751013774209134300,0.47113427734375,-398.2922668457031,-157.30172729492188,-52.10758972167969
1751013774219176200,0.48117626953125,-397.4095458984375,-157.40869140625,-52.09510803222656
1751013774229218300,0.49121826171875,-397.94891357421875,-157.14208984375,-52.23516845703125
1751013774239261400,0.501261474609375,-397.4171142578125,-156.9361572265625,-52.10035705566406
1751013774249303300,0.51130322265625,-397.40167236328125,-157.09103393554688,-52.13450622558594
1751013774259346200,0.52134619140625,-397.550537109375,-157.28424072265625,-51.89891052246094
1751013774269387300,0.53138720703125,-398.0234375,-157.14212036132812,-52.052581787109375
1751013774279430400,0.541430419921875,-398.383056640625,-156.7274627685547,-51.97760009765625
1751013774289472300,0.55147216796875,-398.26629638671875,-157.36563110351562,-51.981658935546875
1751013774299513300,0.561513427734375,-397.9136962890625,-157.11273193359375,-51.641845703125
1751013774309555200,0.57155517578125,-398.34228515625,-157.29507446289062,-51.756072998046875
1751013774319597300,0.581597412109375,-398.00323486328125,-157.07992553710938,-51.60374450683594
1751013774329639200,0.59163916015625,-397.4285888671875,-157.02748107910156,-51.850494384765625
1751013774339682300,0.601682373046875,-397.7025146484375,-156.75924682617188,-51.424652099609375
1751013774349725200,0.61172509765625,-397.7237854003906,-156.60345458984375,-51.71290588378906
1751013774359766300,0.621766357421875,-397.5816345214844,-156.77073669433594,-51.59564208984375
1751013774369808100,0.63180810546875,-397.8772277832031,-156.86865234375,-51.68052673339844
1751013774379850500,0.6418505859375,-397.7697448730469,-156.71343994140625,-51.79725646972656
1751013774389893400,0.651893310546875,-398.00628662109375,-156.53726196289062,-51.727294921875
1751013774399935200,0.661935302734375,-397.45654296875,-156.5268096923828,-51.40834045410156
1751013774409977000,0.67197705078125,-397.92352294921875,-156.30194091796875,-51.53382873535156
1751013774420019500,0.68201953125,-397.79803466796875,-156.5963134765625,-51.591064453125
1751013774430060300,0.692060302734375,-397.62371826171875,-156.470703125,-51.531402587890625
1751013774440101400,0.702101318359375,-397.61468505859375,-156.19798278808594,-51.41764831542969
1751013774450141200,0.71214111328125,-397.5301208496094,-156.72604370117188,-51.61505126953125
1751013774460182300,0.722182373046875,-397.64166259765625,-156.85009765625,-51.370086669921875
1751013774470223000,0.73222314453125,-397.896728515625,-157.10995483398438,-51.4473876953125
1751013774480265500,0.742265380859375,-397.9449157714844,-156.75125122070312,-51.2772216796875
1751013774490306300,0.752306396484375,-397.44635009765625,-156.7875213623047,-51.35978698730469
1751013774500347400,0.762347412109375,-397.983642578125,-156.98793029785156,-51.56925964355469
1751013774510388500,0.772388427734375,-397.9683837890625,-156.62216186523438,-51.41703796386719
1751013774520428300,0.78242822265625,-397.85919189453125,-156.7414093017578,-51.24717712402344
1751013774530468400,0.79246826171875,-397.6722412109375,-156.7864990234375,-51.47398376464844
1751013774540509200,0.80250927734375,-397.90618896484375,-156.8499755859375,-51.48248291015625
1751013774550552300,0.81255224609375,-397.96588134765625,-156.6636962890625,-51.509613037109375
1751013774560594400,0.822594482421875,-397.43023681640625,-156.57867431640625,-51.39530944824219
1751013774570637300,0.83263720703125,-397.67962646484375,-156.25946044921875,-51.40303039550781
1751013774580679200,0.84267919921875,-397.652587890625,-156.42581176757812,-51.4591064453125
1751013774590720300,0.85272021484375,-397.8358154296875,-156.50477600097656,-51.70744323730469
1751013774600762400,0.862762451171875,-397.40863037109375,-156.31402587890625,-51.54917907714844
1751013774610804200,0.87280419921875,-397.476806640625,-156.35406494140625,-51.60285949707031
1751013774620845300,0.88284521484375,-397.66204833984375,-156.4888916015625,-51.76951599121094
1751013774630887200,0.89288720703125,-397.47705078125,-156.69711303710938,-51.87236022949219
1751013774640929300,0.90292919921875,-397.338134765625,-156.31336975097656,-52.269775390625
1751013774650971100,0.91297119140625,-397.1891174316406,-156.4664306640625,-51.90208435058594
1751013774661013200,0.92301318359375,-397.66448974609375,-156.7786865234375,-51.983062744140625
1751013774671053800,0.9330537109375,-397.705322265625,-157.0892791748047,-51.8028564453125
1751013774681095000,0.943094970703125,-397.6214904785156,-156.724853515625,-52.250701904296875
1751013774691136000,0.953135986328125,-397.405029296875,-156.45730590820312,-51.87199401855469
1751013774701175800,0.96317578125,-397.10687255859375,-156.65020751953125,-51.87821960449219
1751013774711215900,0.9732158203125,-397.55682373046875,-156.6280059814453,-52.26258850097656
1751013774721255200,0.983255126953125,-397.41754150390625,-156.45162963867188,-51.98262023925781
1751013774731296000,0.9932958984375,-397.6365966796875,-156.7457733154297,-52.26072692871094
1751013774741338000,1.003338134765625,-397.5973205566406,-156.5246124267578,-51.952239990234375
1751013774751380000,1.0133798828125,-397.1826477050781,-156.43553161621094,-52.03025817871094
1751013774761421800,1.023421875,-397.8927001953125,-156.6727294921875,-51.90472412109375
1751013774771460000,1.033460205078125,-397.3534240722656,-156.44091796875,-52.25581359863281
1751013774781506000,1.043506103515625,-397.6961975097656,-156.71084594726562,-51.92774963378906
1751013774791549000,1.053548828125,-397.59405517578125,-156.51040649414062,-51.896728515625
1751013774801591000,1.063591064453125,-397.45343017578125,-156.6808624267578,-51.76202392578125
1751013774811633000,1.0736328125,-397.96307373046875,-156.38270568847656,-51.73193359375
1751013774821675000,1.083675048828125,-397.7548828125,-156.53614807128906,-51.916107177734375
1751013774831718000,1.0937177734375,-397.5372009277344,-156.554931640625,-51.90617370605469
1751013774841760000,1.103760009765625,-397.39764404296875,-156.51466369628906,-51.765716552734375
1751013774851801900,1.1138017578125,-397.71466064453125,-156.68002319335938,-51.806732177734375
1751013774861843000,1.123843017578125,-398.1564636230469,-156.6439666748047,-51.91938781738281
1751013774871883800,1.1338837890625,-397.5115966796875,-156.7852020263672,-51.777679443359375
1751013774881926100,1.143926025390625,-397.5928955078125,-156.6901397705078,-51.905120849609375
1751013774891967000,1.153967041015625,-397.63861083984375,-156.27500915527344,-51.663909912109375
1751013774902008000,1.164008056640625,-397.5313720703125,-156.57904052734375,-51.96478271484375
1751013774912050000,1.1740498046875,-397.5293273925781,-156.52676391601562,-51.66191101074219
1751013774922091000,1.184091064453125,-397.8935546875,-156.6260528564453,-51.643035888671875
1751013774932132900,1.1941328125,-397.8162536621094,-156.84678649902344,-51.63999938964844
1751013774942175000,1.204175048828125,-397.65692138671875,-156.8553466796875,-51.7156982421875
1751013774952218000,1.214218017578125,-397.8870544433594,-156.6634521484375,-51.447479248046875
1751013774962260000,1.224260009765625,-397.88934326171875,-156.82052612304688,-51.539794921875
1751013774972302000,1.234302001953125,-397.6798095703125,-156.83201599121094,-51.75721740722656
1751013774982341000,1.244341064453125,-397.964599609375,-156.65200805664062,-51.566925048828125
1751013774992382000,1.2543818359375,-397.65771484375,-156.28103637695312,-51.495330810546875
1751013775002423000,1.264423095703125,-397.521728515625,-156.3773193359375,-51.7449951171875
1751013775012465000,1.27446484375,-397.979248046875,-156.3909454345703,-51.63423156738281
1751013775022505000,1.2845048828125,-397.99005126953125,-156.57806396484375,-51.51165771484375
1751013775032547800,1.2945478515625,-397.7745361328125,-156.56326293945312,-51.630889892578125
1751013775042589000,1.3045888671875,-397.55865478515625,-156.42828369140625,-51.75956726074219
1751013775052630000,1.314630126953125,-397.9437255859375,-156.8061065673828,-51.50148010253906
1751013775062670800,1.3246708984375,-397.6767883300781,-156.47406005859375,-51.365386962890625
1751013775072713000,1.334712890625,-397.98724365234375,-156.89781188964844,-51.54530334472656
1751013775082753800,1.34475390625,-397.7584228515625,-156.69985961914062,-51.40626525878906
1751013775092793900,1.3547939453125,-398.03948974609375,-156.7683563232422,-51.05442810058594
1751013775102836000,1.3648359375,-397.75213623046875,-156.69056701660156,-51.05723571777344
1751013775112877800,1.3748779296875,-397.64630126953125,-156.6972198486328,-50.95179748535156
1751013775122919000,1.3849189453125,-397.667724609375,-156.94618225097656,-51.18603515625
1751013775132959000,1.394958984375,-397.4975891113281,-156.8368682861328,-51.32444763183594
1751013775142999800,1.404999755859375,-397.8022155761719,-156.58465576171875,-51.08842468261719
1751013775153041000,1.415041015625,-397.4525146484375,-156.56565856933594,-51.39886474609375
1751013775163081000,1.4250810546875,-397.611083984375,-156.69268798828125,-51.47674560546875
1751013775173121000,1.43512109375,-397.14404296875,-156.90769958496094,-51.313873291015625
1751013775183159800,1.445159912109375,-397.8509216308594,-156.9176025390625,-50.984161376953125
1751013775193199900,1.455199951171875,-398.54388427734375,-156.7181854248047,-51.136138916015625
1751013775203240000,1.465239990234375,-398.4930419921875,-157.11155700683594,-51.217864990234375
1751013775213281800,1.47528173828125,-398.24017333984375,-156.7855682373047,-51.2003173828125
1751013775223321900,1.48532177734375,-397.79248046875,-157.10733032226562,-51.208251953125
1751013775233362000,1.49536181640625,-398.3558044433594,-157.10372924804688,-50.95330810546875
1751013775243403000,1.505403076171875,-397.8468017578125,-157.08067321777344,-51.122772216796875
1751013775253443800,1.51544384765625,-397.96051025390625,-157.2513427734375,-50.58343505859375
1751013775263485000,1.52548486328125,-397.7969970703125,-157.11907958984375,-51.05268859863281
1751013775273525000,1.53552490234375,-397.2236633300781,-156.96688842773438,-50.862335205078125
1751013775283565000,1.54556494140625,-398.01287841796875,-157.1935577392578,-51.10798645019531
1751013775293607000,1.55560693359375,-397.6498107910156,-157.25303649902344,-50.86293029785156
1751013775303647000,1.56564697265625,-397.8299255371094,-156.749267578125,-51.09980773925781
1751013775313688000,1.57568798828125,-397.94427490234375,-156.58148193359375,-51.18113708496094
1751013775323729200,1.585729248046875,-397.59375,-157.06463623046875,-51.11921691894531
1751013775333770000,1.59577001953125,-397.5791015625,-157.28961181640625,-51.04585266113281
1751013775343811000,1.60581103515625,-397.8433532714844,-156.99993896484375,-51.18891906738281
1751013775353853000,1.61585302734375,-398.34906005859375,-157.1157684326172,-51.455230712890625
1751013775363895000,1.62589501953125,-398.1266174316406,-156.9801483154297,-51.11729431152344
1751013775373935900,1.635935791015625,-397.75830078125,-156.96681213378906,-51.11430358886719
1751013775383977000,1.64597705078125,-397.68145751953125,-156.69007873535156,-51.155426025390625
1751013775394018800,1.656018798828125,-398.11285400390625,-156.85549926757812,-51.21070861816406
1751013775404059000,1.666058837890625,-397.8359375,-156.60264587402344,-51.09855651855469
1751013775414100000,1.676099853515625,-398.3341064453125,-157.11367797851562,-51.47187805175781
1751013775424141000,1.68614111328125,-397.5721435546875,-156.82606506347656,-51.08766174316406
1751013775434182000,1.696181884765625,-397.6221923828125,-157.04217529296875,-50.986724853515625
1751013775444223000,1.706222900390625,-397.7458190917969,-156.86837768554688,-51.254547119140625
1751013775454264800,1.716264892578125,-397.9632873535156,-157.00909423828125,-51.09477233886719
1751013775464307000,1.726306884765625,-397.9594421386719,-157.0872039794922,-51.17195129394531
1751013775474347800,1.73634765625,-398.5469970703125,-157.30368041992188,-51.155242919921875
1751013775484390100,1.74639013671875,-398.22802734375,-157.0716552734375,-50.827392578125
1751013775494432000,1.756431884765625,-398.0538330078125,-156.894287109375,-51.17527770996094
1751013775504475000,1.766474853515625,-398.29339599609375,-157.17042541503906,-50.739349365234375
1751013775514516700,1.776516845703125,-398.2740478515625,-157.0682830810547,-51.01728820800781
1751013775524557800,1.786557861328125,-397.61956787109375,-156.91883850097656,-51.185791015625
1751013775534600000,1.796599853515625,-398.41143798828125,-157.0877227783203,-50.62928771972656
