time,seconds_elapsed,dBFS
1751013820116000000,0.024,-35.85939407348633
1751013820226000000,0.133999755859375,-37.29170608520508
1751013820327000000,0.235,-34.21316909790039
1751013820444000000,0.352,-36.70499801635742
1751013820544000000,0.452,-37.82473373413086
1751013820644000000,0.552,-36.23736572265625
1751013820743000000,0.651,-36.24437713623047
1751013820843000000,0.751,-33.75141525268555
1751013820943000000,0.851,-33.891231536865234
1751013821044000000,0.952,-35.791473388671875
1751013821143000000,1.051,-36.80362319946289
1751013821245000000,1.153,-32.676151275634766
1751013821344000000,1.252,-34.65960693359375
1751013821461000000,1.369,-37.12040710449219
1751013821578000000,1.485999755859375,-37.59663772583008
1751013821678000000,1.586000244140625,-35.42531967163086
1751013821794000000,1.701999755859375,-27.844314575195312
1751013821894000000,1.802000244140625,-29.302536010742188
1751013821994000000,1.901999755859375,-31.71381187438965
1751013822094000000,2.002000244140625,-33.40687942504883
1751013822194000000,2.101999755859375,-35.10267639160156
1751013822294000000,2.202000244140625,-36.48866653442383
1751013822394000000,2.301999755859375,-36.65845489501953
1751013822494000000,2.402000244140625,-38.03547286987305
1751013822594000000,2.501999755859375,-39.20768737792969
1751013822694000000,2.602000244140625,-36.718109130859375
1751013822794000000,2.701999755859375,-38.47565841674805
1751013822894000000,2.802000244140625,-37.87456130981445
1751013822994000000,2.901999755859375,-35.97536849975586
1751013823101000000,3.009,-35.97936248779297
1751013823210000000,3.117999755859375,-36.75139236450195
1751013823327000000,3.235,-34.68690872192383
1751013823427000000,3.335,-37.17933654785156
1751013823544000000,3.452,-36.36006546020508
1751013823645000000,3.553,-38.56819534301758
1751013823744000000,3.652,-35.57958221435547
1751013823844000000,3.752,-36.989715576171875
1751013823944000000,3.852,-34.46051025390625
1751013824045000000,3.953,-36.46128845214844
1751013824160000000,4.068,-35.94186782836914
1751013824261000000,4.169,-33.55562210083008
1751013824377000000,4.285,-36.55256271362305
1751013824477000000,4.385,-38.71601867675781
1751013824577000000,4.485,-38.938270568847656
1751013824677000000,4.585,-36.33979034423828
1751013824777000000,4.685,-37.391231536865234
1751013824877000000,4.785,-33.787437438964844
1751013824978000000,4.885999755859375,-35.14781188964844
1751013825078000000,4.986000244140625,-36.97844696044922
1751013825194000000,5.101999755859375,-38.357032775878906
1751013825294000000,5.202000244140625,-36.38755416870117
1751013825394000000,5.301999755859375,-36.790870666503906
1751013825494000000,5.402000244140625,-36.84859085083008
1751013825594000000,5.501999755859375,-37.97514724731445
1751013825694000000,5.602000244140625,-39.33157730102539
1751013825794000000,5.701999755859375,-34.45071029663086
1751013825894000000,5.802000244140625,-35.31969451904297
1751013825994000000,5.901999755859375,-34.740142822265625
1751013826094000000,6.002000244140625,-35.845279693603516
1751013826201000000,6.109,-37.9614143371582
1751013826310000000,6.218000244140625,-38.20555114746094
1751013826411000000,6.319,-37.265045166015625
1751013826527000000,6.435,-38.089202880859375
1751013826627000000,6.535,-36.71310043334961
1751013826727000000,6.635,-34.958126068115234
1751013826827000000,6.735,-35.965240478515625
1751013826927000000,6.835,-35.60029602050781
1751013827027000000,6.935,-35.573486328125
1751013827127000000,7.035,-36.29176712036133
1751013827235000000,7.143,-37.64704132080078
1751013827344000000,7.252,-34.9644660949707
1751013827444000000,7.352,-36.0340690612793
1751013827544000000,7.452,-35.62929916381836
1751013827644000000,7.552,-37.478878021240234
1751013827744000000,7.652,-35.65416717529297
1751013827844000000,7.752,-36.90019607543945
1751013827944000000,7.852,-35.24321746826172
1751013828044000000,7.952,-36.48716735839844
1751013828144000000,8.052,-33.23155212402344
1751013828244000000,8.152,-35.41255187988281
1751013828344000000,8.252,-36.674415588378906
1751013828444000000,8.352,-34.960166931152344
1751013828544000000,8.452,-33.8080940246582
1751013828644000000,8.552,-32.31034851074219
1751013828744000000,8.652,-35.03131866455078
1751013828844000000,8.752,-36.35228729248047
1751013828944000000,8.852,-31.517375946044922
1751013829043000000,8.951,-33.74374771118164
1751013829144000000,9.052,-35.92198181152344
1751013829244000000,9.152,-36.39064407348633
1751013829344000000,9.252,-37.47940444946289
1751013829444000000,9.352,-38.729488372802734
1751013829561000000,9.469,-39.90745162963867
1751013829677000000,9.585,-37.38429641723633
1751013829793000000,9.701,-37.34989929199219
1751013829894000000,9.802000244140626,-38.332763671875
1751013830010000000,9.917999755859375,-38.383182525634766
1751013830110000000,10.018000244140625,-37.753326416015625
1751013830210000000,10.117999755859374,-37.54741668701172
1751013830310000000,10.218000244140624,-36.89189910888672
1751013830410000000,10.317999755859375,-36.95159912109375
1751013830510000000,10.418000244140625,-34.85841751098633
1751013830611000000,10.519,-33.13521957397461
1751013830710000000,10.618000244140624,-35.2865104675293
1751013830810000000,10.717999755859376,-36.998008728027344
1751013830927000000,10.835,-37.60757064819336
