time,seconds_elapsed,z,y,x
1751015756689487000,0.120487060546875,-397.53057861328125,-183.39541625976562,-14.322372436523438
1751015756699529200,0.130529296875,-397.38116455078125,-183.2107696533203,-14.204132080078125
1751015756709571000,0.140571044921875,-397.58917236328125,-183.165771484375,-14.555892944335938
1751015756719613200,0.15061328125,-397.21246337890625,-182.7085418701172,-14.667556762695312
1751015756729655300,0.1606552734375,-397.33770751953125,-183.40127563476562,-14.64837646484375
1751015756739698200,0.1706982421875,-397.28656005859375,-182.9539794921875,-14.266815185546875
1751015756749740000,0.180739990234375,-397.7113037109375,-183.0371551513672,-14.335830688476562
1751015756759781000,0.190781005859375,-397.5048828125,-182.92820739746094,-14.250320434570312
1751015756769822200,0.200822265625,-397.62554931640625,-182.78733825683594,-14.629837036132812
1751015756779864000,0.210864013671875,-398.12762451171875,-182.2015380859375,-14.764968872070312
1751015756789906200,0.22090625,-397.58831787109375,-182.10279846191406,-13.966232299804688
1751015756799949000,0.230948974609375,-397.34393310546875,-181.60028076171875,-13.704635620117188
1751015756809991200,0.2409912109375,-397.65484619140625,-181.45924377441406,-13.211456298828125
1751015756820033000,0.251032958984375,-397.2520751953125,-180.6495819091797,-12.574172973632812
1751015756830076200,0.261076171875,-396.4561462402344,-180.6182403564453,-11.963226318359375
1751015756840117200,0.2711171875,-396.39776611328125,-180.51744079589844,-11.506805419921875
1751015756850159000,0.2811591796875,-395.6988525390625,-181.08175659179688,-10.608810424804688
1751015756860200200,0.2912001953125,-395.41815185546875,-181.84368896484375,-10.393768310546875
1751015756870241300,0.3012412109375,-394.8641357421875,-182.09335327148438,-10.126571655273438
1751015756880282000,0.3112822265625,-395.0057373046875,-182.66680908203125,-9.79254150390625
1751015756890324200,0.32132421875,-394.15948486328125,-183.63775634765625,-9.627685546875
1751015756900366000,0.331365966796875,-394.12554931640625,-183.9055938720703,-9.372879028320312
1751015756910408200,0.341408203125,-394.0616455078125,-184.7744140625,-9.002548217773438
1751015756920450300,0.3514501953125,-393.3363342285156,-184.5667266845703,-8.534927368164062
1751015756930490400,0.361490478515625,-392.6055908203125,-185.03610229492188,-8.190032958984375
1751015756940531200,0.37153125,-393.09832763671875,-185.75216674804688,-8.08447265625
1751015756950573300,0.3815732421875,-392.3263854980469,-186.185546875,-8.074081420898438
1751015756960615200,0.391615234375,-392.171875,-186.32276916503906,-8.080215454101562
1751015756970656300,0.40165625,-392.0439758300781,-187.0103759765625,-8.041091918945312
1751015756980698000,0.411697998046875,-391.639404296875,-187.07199096679688,-8.029403686523438
1751015756990738200,0.42173828125,-391.712890625,-187.2069549560547,-7.9013519287109375
1751015757000780000,0.431780029296875,-391.765625,-186.7625274658203,-8.262176513671875
1751015757010822100,0.441822265625,-392.228515625,-186.76864624023438,-8.651473999023438
1751015757020864300,0.4518642578125,-392.4483642578125,-186.78109741210938,-8.894607543945312
1751015757030905300,0.4619052734375,-392.885986328125,-186.98561096191406,-8.934646606445312
1751015757040947200,0.471947265625,-392.64617919921875,-186.95428466796875,-9.004608154296875
1751015757050987300,0.4819873046875,-392.7749938964844,-186.9688720703125,-9.350311279296875
1751015757061028400,0.4920283203125,-392.2052001953125,-187.36183166503906,-9.380126953125
1751015757071069200,0.502069091796875,-392.75982666015625,-187.4521484375,-9.158203125
1751015757081112000,0.512112060546875,-391.9305419921875,-187.9473114013672,-8.963821411132812
1751015757091154200,0.522154296875,-391.875732421875,-187.9022979736328,-8.811996459960938
1751015757101195000,0.532195068359375,-391.90771484375,-188.0386505126953,-8.967315673828125
1751015757111237000,0.542237060546875,-391.63946533203125,-187.95477294921875,-8.87615966796875
1751015757121279200,0.552279296875,-391.3937683105469,-188.21163940429688,-8.694778442382812
