time,seconds_elapsed,dBFS
1751015756602000000,0.032999755859375,-33.02896499633789
1751015756708000000,0.139,-35.86513900756836
1751015756809000000,0.24,-36.657772064208984
1751015756909000000,0.34,-29.557903289794922
1751015757009000000,0.44,-16.495140075683594
1751015757126000000,0.557000244140625,-11.905333518981934
1751015757243000000,0.674,-15.577794075012207
1751015757343000000,0.774,-18.868501663208008
1751015757443000000,0.874,-16.811437606811523
1751015757543000000,0.974,-19.09102439880371
1751015757643000000,1.074,-23.222145080566406
1751015757744000000,1.175,-27.621562957763672
1751015757859000000,1.29,-30.681232452392578
1751015757959000000,1.39,-29.252166748046875
1751015758076000000,1.507,-30.132659912109375
1751015758176000000,1.607,-22.516218185424805
1751015758276000000,1.707,-25.368106842041016
1751015758375000000,1.806,-27.425018310546875
1751015758476000000,1.907,-30.165363311767578
1751015758576000000,2.007,-32.70764923095703
1751015758676000000,2.107,-34.970211029052734
1751015758776000000,2.207,-33.9116096496582
1751015758876000000,2.307,-35.499481201171875
1751015758976000000,2.407,-36.25404739379883
1751015759076000000,2.507,-34.84947204589844
1751015759176000000,2.607,-36.801963806152344
1751015759275000000,2.706,-38.31235122680664
1751015759376000000,2.807,-32.50725173950195
1751015759476000000,2.907,-29.05769157409668
1751015759575000000,3.006,-31.421398162841797
1751015759676000000,3.107,-34.080291748046875
1751015759776000000,3.207,-36.27067565917969
1751015759876000000,3.307,-27.322509765625
1751015759976000000,3.407,-28.9394474029541
1751015760093000000,3.524,-32.19955825805664
1751015760210000000,3.640999755859375,-30.303647994995117
1751015760309000000,3.74,-32.150272369384766
1751015760410000000,3.840999755859375,-34.81407165527344
1751015760509000000,3.94,-32.98268127441406
1751015760626000000,4.056999755859375,-33.647640228271484
1751015760727000000,4.158,-27.188220977783203
1751015760826000000,4.256999755859375,-29.20843505859375
1751015760926000000,4.357000244140625,-31.518842697143555
1751015761026000000,4.456999755859375,-28.193201065063477
1751015761130000000,4.560999755859375,-30.057540893554688
1751015761226000000,4.656999755859375,-32.119544982910156
1751015761326000000,4.757000244140625,-29.859880447387695
1751015761426000000,4.856999755859375,-32.022464752197266
1751015761526000000,4.957000244140625,-34.74507522583008
1751015761633000000,5.064,-35.73762512207031
1751015761743000000,5.174,-30.537691116333008
1751015761842000000,5.272999755859375,-32.55280685424805
1751015761942000000,5.373000244140625,-34.53036880493164
1751015762059000000,5.49,-36.45981979370117
1751015762159000000,5.59,-30.461408615112305
1751015762275000000,5.706,-31.38154411315918
1751015762376000000,5.807,-33.050228118896484
1751015762476000000,5.907,-34.154319763183594
1751015762576000000,6.007,-36.2293701171875
1751015762676000000,6.107,-33.581172943115234
1751015762776000000,6.207,-29.164587020874023
1751015762875000000,6.306,-28.191720962524414
1751015762975000000,6.406,-31.13555335998535
1751015763075000000,6.506,-33.80961608886719
1751015763176000000,6.607,-35.781314849853516
1751015763276000000,6.707,-31.573766708374023
1751015763376000000,6.807,-32.478633880615234
1751015763476000000,6.907,-32.6866455078125
1751015763575000000,7.006,-34.236671447753906
1751015763676000000,7.107,-35.78861999511719
1751015763776000000,7.207,-35.84627914428711
1751015763876000000,7.307,-35.75176239013672
1751015763976000000,7.407,-33.08594512939453
1751015764076000000,7.507,-31.627605438232422
1751015764176000000,7.607,-33.908164978027344
1751015764276000000,7.707,-35.63039779663086
1751015764376000000,7.807,-37.273860931396484
1751015764475000000,7.906,-26.446331024169922
1751015764576000000,8.007,-29.19261360168457
1751015764676000000,8.107,-32.0693359375
1751015764776000000,8.207,-34.12451934814453
1751015764876000000,8.307,-33.06397247314453
1751015764976000000,8.407,-34.41759490966797
1751015765076000000,8.507,-25.591001510620117
1751015765176000000,8.607,-27.758699417114258
1751015765276000000,8.707,-31.261568069458008
1751015765376000000,8.807,-33.6118049621582
1751015765476000000,8.907,-36.376983642578125
1751015765576000000,9.007,-28.568693161010742
1751015765675000000,9.106,-30.46164321899414
1751015765775000000,9.206,-32.00804901123047
1751015765876000000,9.307,-34.677268981933594
1751015765976000000,9.407,-35.757591247558594
1751015766076000000,9.507,-36.33543395996094
1751015766175000000,9.606,-27.2447509765625
1751015766276000000,9.707,-29.199838638305664
1751015766376000000,9.807,-31.857988357543945
1751015766475000000,9.906,-34.258087158203125
1751015766576000000,10.007,-35.11486053466797
1751015766676000000,10.107,-27.818603515625
1751015766776000000,10.207,-25.383882522583008
1751015766876000000,10.307,-28.65169906616211
1751015766976000000,10.407,-31.00984001159668
1751015767076000000,10.507,-33.2092170715332
1751015767192000000,10.623,-30.065845489501953
1751015767309000000,10.74,-31.319684982299805
1751015767426000000,10.856999755859375,-30.089908599853516
1751015767525000000,10.956,-6.632723331451416
1751015767626000000,11.056999755859374,-8.778483390808105
1751015767726000000,11.157000244140624,-12.285124778747559
1751015767830000000,11.261000244140625,-10.741825103759766
1751015767942000000,11.373000244140625,-15.76809024810791
1751015768059000000,11.49,-20.210262298583984
1751015768159000000,11.59,-24.181987762451172
1751015768259000000,11.69,-27.699115753173828
1751015768375000000,11.806,-30.012413024902344
1751015768476000000,11.907,-33.021915435791016
1751015768576000000,12.007,-32.99150085449219
1751015768676000000,12.107,-27.041105270385742
1751015768775000000,12.206,-27.119871139526367
1751015768875000000,12.306,-29.064098358154297
1751015768975000000,12.406,-30.889568328857422
1751015769076000000,12.507,-32.72003173828125
1751015769175000000,12.606,-31.85698127746582
1751015769275000000,12.706,-28.2078857421875
1751015769375000000,12.806,-24.96291160583496
1751015769476000000,12.907,-27.994916915893555
1751015769576000000,13.007,-30.456119537353516
1751015769675000000,13.106,-33.38242721557617
1751015769776000000,13.207,-35.44605255126953
1751015769875000000,13.306,-25.487653732299805
1751015769975000000,13.406,-22.307950973510742
1751015770075000000,13.506,-26.268848419189453
1751015770176000000,13.607,-29.116668701171875
1751015770293000000,13.724,-32.184478759765625
1751015770409000000,13.84,-33.75920104980469
1751015770509000000,13.94,-25.45090103149414
1751015770609000000,14.04,-28.212400436401367
1751015770709000000,14.14,-30.604007720947266
1751015770809000000,14.24,-33.8537712097168
1751015770908000000,14.339,-36.2564697265625
1751015771009000000,14.44,-10.805365562438965
1751015771108000000,14.539,-15.129837036132812
1751015771209000000,14.64,-19.736238479614258
1751015771309000000,14.74,-23.369308471679688
1751015771409000000,14.84,-27.750764846801758
1751015771509000000,14.94,-20.801790237426758
1751015771609000000,15.04,-23.616527557373047
1751015771709000000,15.14,-26.570344924926758
1751015771809000000,15.24,-29.38898277282715
1751015771909000000,15.34,-31.011741638183594
1751015772009000000,15.44,-32.04500198364258
1751015772109000000,15.54,-22.338577270507812
1751015772209000000,15.64,-21.111024856567383
1751015772309000000,15.74,-24.55919075012207
1751015772409000000,15.84,-28.4373836517334
1751015772509000000,15.94,-28.03160858154297
1751015772609000000,16.04,-22.881593704223633
1751015772709000000,16.14,-25.4542179107666
1751015772809000000,16.24,-28.66594696044922
1751015772909000000,16.34,-31.446474075317383
1751015773008000000,16.439,-27.165359497070312
1751015773108000000,16.539,-23.113067626953125
1751015773208000000,16.639,-22.5631160736084
1751015773309000000,16.74,-25.339414596557617
1751015773409000000,16.84,-29.18417739868164
1751015773508000000,16.939,-25.749923706054688
1751015773608000000,17.039,-27.78584098815918
1751015773708000000,17.139,-17.503551483154297
1751015773808000000,17.239,-21.572019577026367
1751015773908000000,17.339,-24.967870712280273
1751015774009000000,17.44,-10.280829429626465
1751015774109000000,17.54,-14.240522384643555
1751015774209000000,17.64,-17.546451568603516
1751015774308000000,17.739,-21.372642517089844
1751015774408000000,17.839,-25.109359741210938
1751015774509000000,17.94,-27.05325698852539
1751015774608000000,18.039,-25.686382293701172
1751015774709000000,18.14,-21.667255401611328
1751015774808000000,18.239,-24.05435562133789
1751015774909000000,18.34,-27.202919006347656
1751015775008000000,18.439,-30.034812927246094
1751015775109000000,18.54,-31.90414047241211
1751015775209000000,18.64,-24.15229034423828
1751015775325000000,18.756,-27.034605026245117
1751015775425000000,18.856,-29.30616569519043
1751015775525000000,18.956,-28.187318801879883
1751015775625000000,19.056,-29.545557022094727
1751015775724000000,19.155,-29.6690731048584
1751015775825000000,19.256,-23.29205322265625
1751015775925000000,19.356,-26.75401496887207
1751015776025000000,19.456,-29.067880630493164
1751015776125000000,19.556,-30.610000610351562
1751015776242000000,19.672999755859376,-28.732362747192383
1751015776342000000,19.773000244140626,-20.859031677246094
1751015776442000000,19.872999755859375,-24.532499313354492
1751015776542000000,19.973000244140625,-25.828733444213867
1751015776642000000,20.072999755859374,-28.088111877441406
1751015776742000000,20.173000244140624,-30.476070404052734
1751015776842000000,20.272999755859374,-25.366514205932617
1751015776942000000,20.373000244140623,-28.33724594116211
1751015777041000000,20.472,-28.98670196533203
1751015777142000000,20.573000244140626,-30.975818634033203
1751015777242000000,20.672999755859376,-29.032970428466797
1751015777342000000,20.773000244140626,-17.21137237548828
1751015777442000000,20.872999755859375,-20.73015022277832
1751015777542000000,20.973000244140625,-24.675945281982422
1751015777642000000,21.072999755859374,-26.856605529785156
1751015777742000000,21.173000244140624,-29.849136352539062
1751015777842000000,21.272999755859374,-23.10419273376465
1751015777942000000,21.373000244140623,-12.95592212677002
1751015778041000000,21.472,-17.163278579711914
1751015778142000000,21.573000244140626,-21.394290924072266
1751015778242000000,21.672999755859376,-24.58852195739746
1751015778342000000,21.773000244140626,-28.037986755371094
1751015778442000000,21.872999755859375,-24.19107437133789
1751015778542000000,21.973000244140625,-22.853200912475586
1751015778642000000,22.072999755859374,-25.472257614135742
1751015778742000000,22.173000244140624,-28.576704025268555
1751015778842000000,22.272999755859374,-31.49150276184082
1751015778942000000,22.373000244140623,-12.010735511779785
1751015779041000000,22.472,-16.08864402770996
1751015779142000000,22.573000244140626,-20.292905807495117
1751015779242000000,22.672999755859376,-22.86195945739746
1751015779342000000,22.773000244140626,-26.252899169921875
1751015779442000000,22.872999755859375,-28.09313201904297
1751015779542000000,22.973000244140625,-30.349716186523438
1751015779642000000,23.072999755859374,-27.432008743286133
1751015779742000000,23.173000244140624,-30.730064392089844
1751015779842000000,23.272999755859374,-32.48374938964844
1751015779942000000,23.373000244140623,-34.51434326171875
1751015780041000000,23.472,-23.771947860717773
1751015780141000000,23.572,-26.406126022338867
1751015780241000000,23.672,-29.084077835083008
1751015780342000000,23.773000244140626,-30.745500564575195
1751015780441000000,23.872,-27.64067840576172
1751015780542000000,23.973000244140625,-25.425579071044922
1751015780641000000,24.072,-21.222087860107422
1751015780742000000,24.173000244140624,-25.548019409179688
1751015780842000000,24.272999755859374,-27.878759384155273
1751015780941000000,24.372,-28.26689338684082
1751015781041000000,24.472,-20.660186767578125
1751015781142000000,24.573000244140626,-21.909927368164062
1751015781241000000,24.672,-25.06578254699707
1751015781342000000,24.773000244140626,-27.802392959594727
1751015781441000000,24.872,-29.413394927978516
1751015781542000000,24.973000244140625,-29.585222244262695
1751015781642000000,25.072999755859374,-17.029298782348633
1751015781742000000,25.173000244140624,-21.1010799407959
1751015781841000000,25.272,-24.50104331970215
1751015781941000000,25.372,-27.23983383178711
1751015782041000000,25.472,-29.407699584960938
1751015782142000000,25.573000244140626,-21.488515853881836
1751015782241000000,25.672,-24.12622833251953
