time,seconds_elapsed,dBFS
1751013682882000000,0.030999755859375,-42.02199172973633
1751013682992000000,0.141,-41.480403900146484
1751013683092000000,0.241,-42.887184143066406
1751013683193000000,0.342,-42.73927307128906
1751013683293000000,0.442,-40.98465347290039
1751013683392000000,0.541,-40.89776611328125
1751013683493000000,0.642,-42.01844787597656
1751013683593000000,0.742,-43.70993423461914
1751013683693000000,0.842,-39.21383285522461
1751013683792000000,0.941,-36.044918060302734
1751013683893000000,1.042,-37.85895538330078
1751013683993000000,1.142,-39.49021911621094
1751013684093000000,1.242,-41.27042007446289
1751013684193000000,1.342,-40.778282165527344
1751013684293000000,1.442,-42.803104400634766
1751013684393000000,1.542,-40.05947494506836
1751013684493000000,1.642,-37.89570236206055
1751013684593000000,1.742,-39.460472106933594
1751013684693000000,1.842,-40.333518981933594
1751013684793000000,1.942,-40.76959991455078
1751013684892000000,2.041,-42.08203887939453
1751013684993000000,2.142,-40.959129333496094
1751013685093000000,2.242,-41.19662094116211
1751013685193000000,2.342,-42.14902114868164
1751013685292000000,2.441,-42.81415939331055
1751013685393000000,2.542,-43.276512145996094
1751013685497000000,2.646,-44.46299743652344
1751013685593000000,2.742,-45.064579010009766
1751013685692000000,2.841,-44.19126510620117
1751013685793000000,2.942,-45.035369873046875
1751013685893000000,3.042,-42.00725555419922
1751013685993000000,3.142,-40.16413497924805
1751013686093000000,3.242,-38.04015350341797
1751013686193000000,3.342,-40.709205627441406
1751013686293000000,3.442,-41.73249053955078
1751013686393000000,3.542,-42.43858337402344
1751013686492000000,3.641,-43.71416473388672
1751013686593000000,3.742,-41.53252029418945
1751013686693000000,3.842,-43.486351013183594
1751013686793000000,3.942,-41.98525619506836
1751013686892000000,4.041,-42.77056121826172
1751013686993000000,4.142,-43.00651550292969
1751013687093000000,4.242,-44.17397689819336
1751013687193000000,4.342,-42.94770812988281
1751013687292000000,4.441,-39.83481216430664
1751013687393000000,4.542,-40.86594009399414
1751013687493000000,4.642,-42.51162338256836
1751013687593000000,4.742,-42.18230056762695
1751013687692000000,4.841,-41.51531982421875
1751013687793000000,4.942,-41.297550201416016
1751013687893000000,5.042,-41.51578140258789
1751013687993000000,5.142,-42.783721923828125
1751013688110000000,5.259000244140625,-40.386085510253906
1751013688226000000,5.374999755859375,-42.698509216308594
1751013688326000000,5.475000244140625,-39.487281799316406
1751013688426000000,5.574999755859375,-41.89786911010742
1751013688526000000,5.675000244140625,-42.180267333984375
1751013688626000000,5.774999755859375,-41.803287506103516
1751013688726000000,5.875000244140625,-39.79472351074219
1751013688826000000,5.974999755859375,-41.6480712890625
1751013688926000000,6.075000244140625,-41.60707473754883
1751013689026000000,6.174999755859375,-42.06477737426758
1751013689126000000,6.275000244140625,-43.89110565185547
1751013689226000000,6.374999755859375,-43.71961212158203
1751013689326000000,6.475000244140625,-44.2728271484375
1751013689425000000,6.574,-44.04305648803711
1751013689526000000,6.675000244140625,-44.48015213012695
1751013689626000000,6.774999755859375,-43.626407623291016
1751013689726000000,6.875000244140625,-41.29041290283203
1751013689826000000,6.974999755859375,-42.25316619873047
1751013689926000000,7.075000244140625,-37.580322265625
1751013690026000000,7.174999755859375,-40.32975387573242
1751013690126000000,7.275000244140625,-42.465972900390625
1751013690226000000,7.374999755859375,-42.98357009887695
1751013690326000000,7.475000244140625,-42.96190643310547
1751013690426000000,7.574999755859375,-43.365699768066406
1751013690526000000,7.675000244140625,-40.717769622802734
1751013690626000000,7.774999755859375,-42.16715621948242
1751013690725000000,7.874,-43.85871887207031
1751013690826000000,7.974999755859375,-40.15031051635742
1751013690926000000,8.075000244140625,-39.83180236816406
1751013691026000000,8.174999755859375,-41.92008590698242
1751013691126000000,8.275000244140625,-40.52574920654297
1751013691226000000,8.374999755859376,-40.200653076171875
1751013691326000000,8.475000244140626,-42.894901275634766
1751013691427000000,8.576,-43.66923141479492
1751013691526000000,8.675000244140625,-44.74734115600586
1751013691626000000,8.774999755859374,-41.43511962890625
1751013691726000000,8.875000244140624,-39.67055130004883
1751013691826000000,8.974999755859375,-39.291996002197266
1751013691926000000,9.075000244140625,-42.16817092895508
1751013692026000000,9.174999755859375,-42.880271911621094
1751013692126000000,9.275000244140625,-43.692012786865234
1751013692226000000,9.374999755859376,-41.28148651123047
1751013692326000000,9.475000244140626,-42.00475311279297
1751013692426000000,9.574999755859375,-43.53349304199219
1751013692526000000,9.675000244140625,-43.94476318359375
1751013692626000000,9.774999755859374,-44.77554702758789
1751013692726000000,9.875000244140624,-46.375919342041016
1751013692826000000,9.974999755859375,-42.77410125732422
1751013692926000000,10.075000244140625,-40.32066345214844
1751013693026000000,10.174999755859375,-42.263370513916016
1751013693126000000,10.275000244140625,-43.795806884765625
1751013693226000000,10.374999755859376,-40.86583709716797
1751013693325000000,10.474,-41.40550994873047
