time,seconds_elapsed,dBFS
1751013755041000000,0.03,-35.56733322143555
1751013755140000000,0.129,-34.783775329589844
1751013755241000000,0.23,-36.13034439086914
1751013755341000000,0.33,-38.745906829833984
1751013755441000000,0.43,-37.49671173095703
1751013755541000000,0.53,-37.22769546508789
1751013755642000000,0.630999755859375,-36.21611404418945
1751013755742000000,0.731000244140625,-38.070770263671875
1751013755841000000,0.83,-37.402305603027344
1751013755950000000,0.939000244140625,-38.333778381347656
1751013756059000000,1.048,-38.36842727661133
1751013756175000000,1.164,-36.936946868896484
1751013756275000000,1.264,-34.22417449951172
1751013756374000000,1.363000244140625,-36.49806213378906
1751013756474000000,1.462999755859375,-36.68525695800781
1751013756574000000,1.563000244140625,-38.457584381103516
1751013756675000000,1.664,-37.67282485961914
1751013756775000000,1.764,-38.21055221557617
1751013756875000000,1.864,-38.70965576171875
1751013756982000000,1.971000244140625,-37.79288101196289
1751013757091000000,2.08,-40.32428741455078
1751013757191000000,2.18,-37.77489471435547
1751013757291000000,2.28,-38.630802154541016
1751013757407000000,2.396,-39.19862747192383
1751013757507000000,2.496,-37.91947937011719
1751013757608000000,2.597,-36.104888916015625
1751013757708000000,2.697,-37.83829879760742
1751013757807000000,2.796,-37.86354446411133
1751013757908000000,2.897,-39.71565246582031
1751013758015000000,3.004,-38.30010223388672
1751013758125000000,3.114,-36.34852981567383
1751013758224000000,3.213,-35.46577072143555
1751013758324000000,3.313,-37.70573043823242
1751013758425000000,3.414,-35.91561508178711
1751013758524000000,3.513,-36.77811050415039
1751013758625000000,3.614,-37.39799880981445
1751013758725000000,3.714,-36.40439224243164
1751013758841000000,3.83,-34.51463317871094
1751013758941000000,3.93,-36.27516174316406
1751013759049000000,4.038,-38.27958679199219
1751013759158000000,4.147000244140625,-33.74467468261719
1751013759258000000,4.246999755859375,-36.76914596557617
1751013759375000000,4.364,-36.45238494873047
1751013759475000000,4.464,-35.37759780883789
1751013759574000000,4.563000244140625,-33.66602325439453
1751013759675000000,4.664,-36.230220794677734
1751013759775000000,4.764,-36.84193420410156
1751013759875000000,4.864,-35.33169937133789
1751013759975000000,4.964,-37.076961517333984
1751013760082000000,5.070999755859375,-38.16632843017578
1751013760191000000,5.18,-36.76923370361328
1751013760291000000,5.28,-38.14234161376953
1751013760391000000,5.38,-36.063289642333984
1751013760508000000,5.497,-36.588809967041016
1751013760608000000,5.597,-33.86744689941406
1751013760708000000,5.697,-36.34032440185547
1751013760808000000,5.797,-37.97825241088867
1751013760908000000,5.897,-39.96345520019531
1751013761008000000,5.997,-37.18309020996094
1751013761116000000,6.105,-37.81858825683594
1751013761224000000,6.213,-38.407901763916016
1751013761324000000,6.313,-39.38817596435547
1751013761424000000,6.413,-38.64733123779297
1751013761524000000,6.513,-38.88060760498047
1751013761624000000,6.613,-33.145206451416016
1751013761724000000,6.713,-34.823020935058594
1751013761824000000,6.813,-36.610008239746094
1751013761924000000,6.913,-36.109127044677734
1751013762025000000,7.014,-37.05868148803711
1751013762124000000,7.113,-36.42465591430664
1751013762225000000,7.214,-38.272979736328125
1751013762324000000,7.313,-39.25309371948242
1751013762424000000,7.413,-40.35307312011719
1751013762524000000,7.513,-33.593505859375
1751013762624000000,7.613,-35.703765869140625
1751013762724000000,7.713,-36.813114166259766
1751013762824000000,7.813,-37.938758850097656
1751013762924000000,7.913,-37.469268798828125
1751013763024000000,8.013,-36.530982971191406
1751013763124000000,8.113,-38.48070526123047
1751013763224000000,8.213,-37.9677619934082
1751013763327000000,8.316,-37.05987548828125
1751013763424000000,8.413,-39.035247802734375
1751013763524000000,8.513,-39.632694244384766
1751013763624000000,8.613,-35.33134841918945
1751013763724000000,8.713,-34.46107482910156
1751013763824000000,8.813,-36.62147521972656
1751013763925000000,8.914,-38.120384216308594
1751013764024000000,9.013,-34.14683151245117
1751013764125000000,9.114,-36.972618103027344
1751013764224000000,9.213,-38.968204498291016
1751013764324000000,9.313,-36.419925689697266
1751013764424000000,9.413,-35.73223876953125
1751013764524000000,9.513,-36.95177459716797
1751013764624000000,9.613,-38.49437713623047
1751013764724000000,9.713,-34.57198715209961
1751013764824000000,9.813,-36.69636917114258
1751013764924000000,9.913,-36.95513916015625
1751013765024000000,10.013,-35.45989227294922
1751013765124000000,10.113,-37.73406219482422
1751013765224000000,10.213,-37.52490234375
1751013765341000000,10.33,-38.87635040283203
1751013765441000000,10.43,-37.38953399658203
1751013765541000000,10.53,-37.3265495300293
1751013765641000000,10.63,-36.08425521850586
1751013765741000000,10.73,-34.22584533691406
1751013765841000000,10.83,-36.14103698730469
1751013765940000000,10.929,-38.11152267456055
