time,seconds_elapsed,z,y,x
1751013984524742400,0.123742431640625,-395.4931640625,-156.6435089111328,-50.84150695800781
1751013984534784300,0.1337841796875,-395.829345703125,-156.31590270996094,-51.062530517578125
1751013984544827100,0.1438271484375,-395.1612548828125,-156.44705200195312,-50.87689208984375
1751013984554869500,0.153869384765625,-395.75640869140625,-156.1563720703125,-51.03303527832031
1751013984564908300,0.163908203125,-395.7525634765625,-156.60092163085938,-50.997894287109375
1751013984574956500,0.17395654296875,-395.6173400878906,-156.84039306640625,-50.97877502441406
1751013984585000200,0.184000244140625,-395.70458984375,-157.03688049316406,-51.1788330078125
1751013984595043300,0.194043212890625,-395.38909912109375,-156.92491149902344,-51.403045654296875
1751013984605087200,0.204087158203125,-395.53045654296875,-156.81027221679688,-51.144989013671875
1751013984615130400,0.21413037109375,-396.1417541503906,-157.1322021484375,-51.7587890625
1751013984625172500,0.22417236328125,-395.588134765625,-157.4019317626953,-51.57550048828125
1751013984635214300,0.23421435546875,-395.60565185546875,-157.39659118652344,-51.42057800292969
1751013984645252400,0.24425244140625,-395.87982177734375,-157.50462341308594,-51.64924621582031
1751013984655300400,0.25430029296875,-395.2939453125,-157.07205200195312,-51.88519287109375
1751013984665343200,0.26434326171875,-395.5413513183594,-157.2515411376953,-51.871185302734375
1751013984675386400,0.274386474609375,-395.58935546875,-157.1568145751953,-51.72422790527344
1751013984685423400,0.28442333984375,-395.7027587890625,-157.4293670654297,-51.62806701660156
1751013984695471400,0.294471435546875,-395.786376953125,-157.40457153320312,-52.0606689453125
1751013984705514500,0.304514404296875,-395.5584716796875,-157.119384765625,-52.09468078613281
1751013984715557400,0.314557373046875,-395.81097412109375,-157.40963745117188,-51.79815673828125
1751013984725599200,0.32459912109375,-395.77734375,-157.1338653564453,-51.668914794921875
1751013984735641300,0.334641357421875,-395.713134765625,-156.69886779785156,-51.823577880859375
1751013984745680400,0.344680419921875,-395.53277587890625,-157.36639404296875,-51.82606506347656
1751013984755728100,0.35472802734375,-395.6171875,-157.2967987060547,-51.981658935546875
1751013984765770500,0.3647705078125,-395.1307067871094,-157.38389587402344,-51.90234375
1751013984775808300,0.374808349609375,-395.5748291015625,-157.12466430664062,-52.159210205078125
1751013984785856300,0.384856201171875,-395.61865234375,-157.38125610351562,-51.926727294921875
1751013984795899400,0.3948994140625,-395.34228515625,-157.38876342773438,-52.30467224121094
1751013984805940500,0.4049404296875,-395.73126220703125,-157.34710693359375,-52.46125793457031
1751013984815983400,0.4149833984375,-395.2181396484375,-157.49166870117188,-52.021820068359375
1751013984826022400,0.4250224609375,-395.1214904785156,-157.08055114746094,-52.09332275390625
1751013984836070400,0.4350703125,-395.754150390625,-157.3240966796875,-52.08338928222656
1751013984846113300,0.44511328125,-395.7867736816406,-157.57208251953125,-52.20458984375
1751013984856149500,0.4551494140625,-395.601318359375,-157.43304443359375,-52.291290283203125
1751013984866195200,0.4651953125,-395.7655334472656,-157.52674865722656,-52.07701110839844
1751013984876235500,0.475235595703125,-395.6309814453125,-157.335205078125,-52.16499328613281
1751013984886277600,0.485277587890625,-395.37347412109375,-157.54161071777344,-52.214324951171875
1751013984896317400,0.4953173828125,-395.30712890625,-157.69921875,-52.435394287109375
1751013984906359600,0.505359619140625,-395.5598449707031,-157.63755798339844,-52.622100830078125
1751013984916400600,0.515400634765625,-395.6035461425781,-157.2809600830078,-52.23811340332031
1751013984926441700,0.525441650390625,-395.96978759765625,-157.95997619628906,-52.24714660644531
1751013984936482600,0.535482666015625,-395.6297302246094,-157.52944946289062,-52.31855773925781
