time,seconds_elapsed,steps
1751015584689810700,7.433810791015625,9
1751015587235266600,9.9792666015625,14
1751015589780724000,12.524723876953125,17
1751015592326183400,15.070183349609374,22
1751015594871645000,17.61564501953125,26
1751015597417102300,20.161102294921875,31
1751015599962553900,22.706553955078125,36
1751015602508006700,25.252006591796874,41
1751015605053454300,27.797454345703127,45
1751015607598903600,30.342903564453124,50
1751015610144347100,32.88834716796875,55
1751015612689790200,35.43379028320312,59
1751015615235232300,37.979232177734374,64
1751015617780676900,40.5246767578125,67
1751015620326121000,43.070120849609374,71
1751015622871566800,45.61556689453125,76
1751015625417014500,48.1610146484375,80
1751015627962461700,50.70646166992187,82
1751015630507906600,53.25190649414063,86
1751015633053349000,55.79734912109375,88
1751015635598796800,58.342796875,93
1751015638144235500,60.88823559570312,97
1751015640689675300,63.43367529296875,102
1751015643235114000,65.97911401367188,106
1751015645780550000,68.5245498046875,110
1751015648325992200,71.0699921875,115
1751015650871418400,73.61541845703125,119
1751015653416852000,76.16085205078124,124
1751015655962283500,78.70628344726562,128
1751015658507716600,81.25171655273438,133
1751015661053151500,83.7971513671875,137
1751015663598583300,86.34258325195313,141
1751015666144010000,88.88801000976562,145
1751015668689440300,91.43344018554687,149
1751015671234865200,93.978865234375,154
1751015673780290800,96.52429077148437,158
1751015676325714700,99.06971459960937,162
1751015678871135200,101.61513525390625,166
1751015681416555300,104.16055517578125,170
1751015683961978000,106.70597802734375,175
1751015686507394800,109.25139477539062,180
1751015689052804600,111.7968046875,184
1751015691598212000,114.34221215820313,189
1751015694143617300,116.8876171875,194
1751015696689018600,119.4330185546875,199
1751015699234415900,121.97841577148438,203
1751015701779808000,124.52380810546875,208
1751015704325195500,127.06919555664062,212
1751015706870582500,129.61458251953124,217
1751015709415965400,132.15996533203125,222
1751015711961349000,134.70534912109375,226
