room,position_x,position_y
2-01,2.195117,41.405488
2-02,2.194391,41.405488
2-03,2.191489,41.405488
2-04,2.188483,41.405488
2-05,2.185632,41.405488
2-06,2.182514,41.405488
2-07,2.179645,41.405488
2-08,2.179645,41.405488
2-09,2.170739,41.405488
2-10,2.164999,41.405488
2-11,2.194955,41.405488
2-12,2.194346,41.405488
2-13,2.193507,41.405721
2-14,2.193888,41.405921
2-15,2.194490,41.405921
2-16,2.195074,41.405921
2-17,2.195675,41.405921
2-18,2.196827,41.405921
2-19,2.197154,41.406857
2-20,2.197154,41.406322
2-21,2.243688,41.405921
2-22,2.283739,41.405921
2-23,2.322279,41.405921
2-24,2.362330,41.405921
2-25,2.406915,41.405921
