time,seconds_elapsed,dBFS
1751013379579000000,0.065,-34.07962417602539
1751013379686000000,0.172000244140625,-34.69559860229492
1751013379786000000,0.271999755859375,-35.48399353027344
1751013379887000000,0.373,-32.8052978515625
1751013380003000000,0.489,-35.164512634277344
1751013380104000000,0.59,-36.84150314331055
1751013380204000000,0.69,-34.513084411621094
1751013380320000000,0.806,-35.852596282958984
1751013380420000000,0.906,-35.1419677734375
1751013380520000000,1.006,-34.43777847290039
1751013380620000000,1.106,-34.368927001953125
1751013380720000000,1.206,-34.929931640625
1751013380820000000,1.306,-37.21298599243164
1751013380920000000,1.406,-33.37248229980469
1751013381020000000,1.506,-35.58001708984375
1751013381121000000,1.607,-34.25257873535156
1751013381220000000,1.706,-34.830718994140625
1751013381320000000,1.806,-35.221012115478516
1751013381420000000,1.906,-33.338069915771484
1751013381520000000,2.006,-31.687835693359375
1751013381620000000,2.106,-33.74399185180664
1751013381720000000,2.206,-35.56138610839844
1751013381820000000,2.306,-31.59283447265625
1751013381920000000,2.406,-33.005516052246094
1751013382020000000,2.506,-29.414180755615234
1751013382120000000,2.606,-25.0413818359375
1751013382220000000,2.706,-26.76688575744629
1751013382320000000,2.806,-29.010387420654297
1751013382420000000,2.906,-29.525426864624023
1751013382520000000,3.006,-26.531362533569336
1751013382620000000,3.106,-23.164836883544922
1751013382736000000,3.222,-25.821388244628906
1751013382837000000,3.323,-28.114543914794922
1751013382937000000,3.423,-31.586811065673828
1751013383054000000,3.540000244140625,-34.31626510620117
1751013383154000000,3.639999755859375,-35.52864456176758
1751013383254000000,3.740000244140625,-34.34159851074219
1751013383353000000,3.839,-36.166744232177734
1751013383454000000,3.940000244140625,-32.94788360595703
1751013383554000000,4.039999755859375,-34.785736083984375
1751013383654000000,4.140000244140625,-34.12882614135742
1751013383770000000,4.255999755859375,-35.02961349487305
1751013383870000000,4.356000244140625,-32.175174713134766
1751013383970000000,4.455999755859375,-32.652305603027344
1751013384070000000,4.556000244140625,-14.506750106811523
1751013384170000000,4.655999755859375,-17.661855697631836
1751013384270000000,4.756000244140625,-19.38667869567871
1751013384378000000,4.863999755859375,-24.03095054626465
1751013384487000000,4.973,-26.79468536376953
1751013384604000000,5.09,-30.275671005249023
1751013384704000000,5.19,-33.15745162963867
1751013384804000000,5.29,-35.31049346923828
1751013384904000000,5.39,-36.90209197998047
1751013385003000000,5.489,-33.931251525878906
1751013385103000000,5.589,-35.804012298583984
1751013385203000000,5.689,-36.60926055908203
1751013385303000000,5.789,-34.49725341796875
1751013385411000000,5.897,-35.76783752441406
1751013385520000000,6.006,-34.241024017333984
1751013385620000000,6.106,-33.30982971191406
1751013385720000000,6.206,-34.85771560668945
1751013385837000000,6.323,-32.57744216918945
1751013385937000000,6.423,-35.33371353149414
1751013386037000000,6.523,-34.8847541809082
1751013386153000000,6.639,-32.96350860595703
1751013386253000000,6.739,-35.18966293334961
1751013386353000000,6.839,-35.09843444824219
1751013386453000000,6.939,-36.453147888183594
1751013386553000000,7.039,-34.338382720947266
1751013386654000000,7.140000244140625,-36.004310607910156
1751013386754000000,7.239999755859375,-32.35836410522461
1751013386854000000,7.340000244140625,-34.23567199707031
1751013386953000000,7.439,-35.532588958740234
1751013387053000000,7.539,-34.45066833496094
1751013387153000000,7.639,-36.18796157836914
1751013387253000000,7.739,-32.57841491699219
1751013387353000000,7.839,-34.90470504760742
1751013387454000000,7.940000244140625,-35.875118255615234
1751013387553000000,8.039,-32.8044548034668
1751013387653000000,8.139,-35.076332092285156
1751013387753000000,8.239,-32.412227630615234
1751013387853000000,8.339,-30.54437828063965
1751013387953000000,8.439,-32.6520881652832
1751013388053000000,8.539,-33.6634521484375
1751013388154000000,8.639999755859375,-34.9715576171875
1751013388253000000,8.739,-35.963104248046875
1751013388353000000,8.839,-34.18831253051758
1751013388453000000,8.939,-33.32173156738281
1751013388553000000,9.039,-33.958431243896484
1751013388653000000,9.139,-34.791412353515625
1751013388754000000,9.239999755859374,-33.839298248291016
1751013388853000000,9.339,-33.960304260253906
1751013388953000000,9.439,-31.860326766967773
1751013389053000000,9.539,-31.89686393737793
1751013389153000000,9.639,-32.563804626464844
1751013389253000000,9.739,-35.128761291503906
1751013389353000000,9.839,-31.90401840209961
1751013389453000000,9.939,-33.947723388671875
1751013389553000000,10.039,-34.437225341796875
1751013389653000000,10.139,-33.204830169677734
1751013389753000000,10.239,-34.9511604309082
1751013389854000000,10.340000244140626,-36.406490325927734
