time,seconds_elapsed,dBFS
1751015430724000000,0.045,-40.75520324707031
1751015430824000000,0.145,-41.75585174560547
1751015430924000000,0.245,-40.1053466796875
1751015431031000000,0.352,-38.56687927246094
1751015431145000000,0.466,-39.927677154541016
1751015431258000000,0.578999755859375,-39.34996032714844
1751015431358000000,0.679000244140625,-40.25749588012695
1751015431458000000,0.778999755859375,-37.53782272338867
1751015431558000000,0.879000244140625,-39.36667251586914
1751015431658000000,0.978999755859375,-37.422584533691406
1751015431758000000,1.079000244140625,-40.01917266845703
1751015431859000000,1.18,-40.7310905456543
1751015431959000000,1.28,-37.34199142456055
1751015432058000000,1.378999755859375,-38.156314849853516
1751015432158000000,1.479000244140625,-39.57253646850586
1751015432275000000,1.596,-40.62192916870117
1751015432375000000,1.696,-39.5763053894043
1751015432475000000,1.796,-38.39749526977539
1751015432575000000,1.896,-37.277034759521484
1751015432675000000,1.996,-35.34721755981445
1751015432791000000,2.112,-37.40351486206055
1751015432892000000,2.213,-38.36891174316406
1751015432992000000,2.313,-38.90630340576172
1751015433091000000,2.412,-40.17024230957031
1751015433191000000,2.512,-35.06346893310547
1751015433292000000,2.613,-34.0113410949707
1751015433391000000,2.712,-36.15093994140625
1751015433491000000,2.812,-30.247417449951172
1751015433591000000,2.912,-28.829225540161133
1751015433691000000,3.012,-32.38666534423828
1751015433792000000,3.113,-34.67616271972656
1751015433892000000,3.213,-34.6142578125
1751015433991000000,3.312,-36.115074157714844
1751015434092000000,3.413,-35.62946319580078
1751015434192000000,3.513,-36.753997802734375
1751015434292000000,3.613,-34.993011474609375
1751015434392000000,3.713,-36.919410705566406
1751015434499000000,3.82,-33.77163314819336
1751015434609000000,3.93,-35.24760437011719
1751015434709000000,4.03,-32.58754348754883
1751015434808000000,4.129,-35.18643569946289
1751015434909000000,4.23,-36.701541900634766
1751015435009000000,4.33,-38.53630447387695
1751015435108000000,4.429,-32.105873107910156
1751015435208000000,4.529,-34.204532623291016
1751015435325000000,4.646,-36.17333984375
1751015435425000000,4.746,-37.552459716796875
1751015435533000000,4.854,-39.35637664794922
1751015435642000000,4.962999755859375,-38.04519271850586
1751015435742000000,5.063000244140625,-35.13224411010742
1751015435842000000,5.162999755859375,-35.930564880371094
1751015435942000000,5.263000244140625,-34.31648254394531
1751015436042000000,5.362999755859375,-34.82356643676758
1751015436142000000,5.463000244140625,-34.619300842285156
1751015436242000000,5.562999755859375,-31.452762603759766
1751015436342000000,5.663000244140625,-34.546630859375
1751015436458000000,5.778999755859375,-36.44990921020508
1751015436561000000,5.882,-38.04875946044922
1751015436674000000,5.994999755859375,-37.78480911254883
1751015436774000000,6.095000244140625,-33.79888153076172
1751015436874000000,6.194999755859375,-35.71354293823242
1751015436974000000,6.295000244140625,-37.728599548339844
1751015437074000000,6.394999755859375,-34.74068069458008
1751015437174000000,6.495000244140625,-35.165122985839844
1751015437274000000,6.594999755859375,-37.295555114746094
1751015437374000000,6.695000244140625,-35.03163146972656
1751015437474000000,6.794999755859375,-36.13239288330078
1751015437574000000,6.895000244140625,-37.688758850097656
1751015437674000000,6.994999755859375,-34.47296142578125
1751015437774000000,7.095000244140625,-35.25166702270508
1751015437874000000,7.194999755859375,-34.1901741027832
1751015437974000000,7.295000244140625,-35.4935302734375
1751015438074000000,7.394999755859375,-37.51402282714844
1751015438174000000,7.495000244140625,-39.18580627441406
1751015438274000000,7.594999755859375,-40.66514205932617
1751015438375000000,7.696,-41.4654426574707
1751015438474000000,7.794999755859375,-33.7366828918457
1751015438575000000,7.896,-35.19937515258789
1751015438675000000,7.996,-36.697227478027344
1751015438775000000,8.096,-31.953746795654297
