time,seconds_elapsed,steps
1751015765414594800,8.8455947265625,12
1751015767960001000,11.3910009765625,16
1751015770505408300,13.936408203125,20
1751015773050815500,16.4818154296875,25
1751015775596228400,19.027228271484375,30
1751015778141632000,21.572632080078126,34
1751015780687040800,24.118040771484374,39
1751015783232455200,26.663455078125,44
1751015785777860900,29.20886083984375,49
1751015788323274200,31.754274169921874,53
1751015790868682800,34.29968286132812,58
1751015793414093600,36.845093505859374,62
1751015795959504100,39.390504150390626,66
1751015798504915200,41.93591528320312,71
1751015801050327000,44.4813271484375,75
1751015803595734500,47.026734619140626,79
1751015806141152300,49.57215234375,83
1751015808686562600,52.1175625,87
1751015811231976000,54.662975830078125,87
1751015813777391600,57.2083916015625,91
1751015816322809600,59.7538095703125,95
1751015818868217300,62.29921728515625,100
1751015821413632800,64.8446328125,104
1751015823959054600,67.3900546875,109
1751015826504474600,69.935474609375,111
1751015829049897200,72.48089721679688,114
1751015831595320300,75.0263203125,114
1751015834140743700,77.57174365234376,119
1751015836686161200,80.1171611328125,123
1751015839231582700,82.66258276367188,128
1751015841776996900,85.20799682617188,132
1751015844322409200,87.7534091796875,137
1751015846867817500,90.2988173828125,141
1751015849413221000,92.84422119140625,146
1751015851958622500,95.38962255859374,150
1751015854504022000,97.93502197265624,155
1751015857049419500,100.48041943359375,159
1751015859594812400,103.0258125,164
1751015862140206600,105.57120654296875,168
1751015864685592300,108.11659228515624,172
